approach,total_cases,successful_cases,overall_success_rate_percent,overall_avg_num_matches,overall_avg_false_positives,overall_avg_precision,overall_avg_recall,overall_avg_f1_score,normal_success_rate,normal_avg_matches,normal_avg_false_positives,normal_precision,normal_recall,normal_f1,with_deletion_success_rate,with_deletion_avg_matches,with_deletion_avg_false_positives,with_deletion_precision,with_deletion_recall,with_deletion_f1
min-distance-2,1200,1009,84.08,1.002,2.954,0.512,0.501,0.506,77.67,0.907,2.19,0.512,0.453,0.481,86.22,1.033,3.209,0.512,0.517,0.514
min-distance-3,1200,1076,89.67,1.059,1.052,0.732,0.53,0.615,87.67,1.03,0.987,0.722,0.515,0.601,90.33,1.069,1.073,0.736,0.534,0.619
naive,1200,871,72.58,0.818,22.402,0.173,0.409,0.244,62.67,0.687,11.44,0.179,0.343,0.235,75.89,0.862,26.056,0.172,0.431,0.245
