scheme,init_time_sec,init_memory_mb,storage_mb,num_groups,users_per_group,embed_time_sec,embed_overhead_percent,time_per_token_ms,detect_time_sec,hmac_operations,trace_time_sec,trace_comparisons,max_users
naive,0.06499159999657422,0.8203125,0.0,0,0,20.843638182666595,32.18252405591848,42.424878600171866,5.855998573666657,20.0,5.851551644999975,1000.0,1024
min-distance-2,0.3346455999999307,8.81640625,0.0762939453125,100,10,20.807737251000194,44.31027935176558,41.6345725794856,5.793085204333062,20.0,5.83397454766673,1000.0,1000
min-distance-3,2.4519042000029003,5.91796875,0.0762939453125,50,20,20.913198496000355,102.28810643838315,43.30881731763853,5.82598042133274,20.0,5.86109663300061,1000.0,1000
