scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,random_seed,generated_utc,group_accuracy,user_accuracy,full_identity_accuracy,lbit_accuracy,false_positive_rate,false_negative_rate
hierarchical,gpt2,my_local_run,8,1.0,7.0,50,1170253422,2025-11-27T15:01:26.120422Z,0.94,0.8723404255319149,0.82,0.8,0.12,0.06
hierarchical,gpt2,my_local_run,8,2.0,6.0,50,1171617759,2025-11-27T15:24:19.184639Z,0.92,0.8913043478260869,0.82,0.8,0.1,0.08
hierarchical,gpt2,my_local_run,8,3.0,5.0,50,1172991996,2025-11-27T15:50:06.184223Z,0.98,0.9795918367346939,0.96,0.92,0.02,0.02
hierarchical,gpt2,my_local_run,8,4.0,4.0,50,1174538143,2025-11-27T16:15:19.848138Z,0.98,0.9795918367346939,0.96,0.9,0.02,0.02
hierarchical,gpt2,my_local_run,8,5.0,3.0,50,1176052445,2025-11-27T16:39:14.505195Z,0.9,0.9555555555555556,0.86,0.8,0.1,0.04
hierarchical,gpt2,my_local_run,8,6.0,2.0,50,1177486496,2025-11-27T17:04:29.720789Z,0.98,1.0,0.98,0.88,0.0,0.02
hierarchical,gpt2,my_local_run,8,7.0,1.0,50,1179002888,2025-11-27T17:28:11.084483Z,0.88,1.0,0.88,0.8,0.02,0.1
hierarchical,gpt2,my_local_run,8,8.0,0.0,50,1180423424,2025-11-27T17:51:26.484386Z,0.9,0.0,0.0,0.88,0.0,1.0
naive,gpt2,my_local_run,8,,,50,1168715426,2025-11-27T14:38:40.490868Z,,,0.92,0.9,0.06,0.02
