scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,random_seed,generated_utc,group_accuracy,user_accuracy,full_identity_accuracy,lbit_accuracy,false_positive_rate,false_negative_rate
hierarchical,gpt2,my_local_run,8,1.0,7.0,100,1170253422,2025-11-29T14:45:58.060258Z,0.92,0.9891304347826086,0.91,0.9,0.01,0.08
hierarchical,gpt2,my_local_run,8,2.0,6.0,100,1171617759,2025-11-29T15:48:14.218074Z,0.92,0.9565217391304348,0.88,0.85,0.04,0.08
hierarchical,gpt2,my_local_run,8,3.0,5.0,100,1172991996,2025-11-29T16:50:00.744672Z,0.96,0.9270833333333334,0.89,0.82,0.08,0.03
hierarchical,gpt2,my_local_run,8,4.0,4.0,100,1174538143,2025-11-29T17:50:33.101134Z,0.94,0.9468085106382979,0.89,0.85,0.04,0.07
hierarchical,gpt2,my_local_run,8,5.0,3.0,100,1176052445,2025-11-29T18:49:44.757752Z,0.89,0.9438202247191011,0.84,0.81,0.09,0.07
hierarchical,gpt2,my_local_run,8,6.0,2.0,100,1177486496,2025-11-29T19:51:16.824540Z,0.91,0.989010989010989,0.9,0.84,0.03,0.07
hierarchical,gpt2,my_local_run,8,7.0,1.0,100,1179002888,2025-11-29T20:52:13.141019Z,0.89,0.9775280898876404,0.87,0.83,0.03,0.1
hierarchical,gpt2,my_local_run,8,8.0,0.0,100,1180423424,2025-11-29T21:55:02.079773Z,0.93,0.0,0.0,0.89,0.0,1.0
naive,gpt2,my_local_run,8,,,100,1168715426,2025-11-29T13:42:34.665615Z,,,0.84,0.83,0.11,0.05
